Country,Image,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,2279000.0,2279000.0,1947000.0,2230000.0,2282000.0,2033000.0,2280000.0,2354000.0,2454000.0,2081000.0,1915000.0,2450000.0,2700000.0,2750000.0,2850000.0,2936000.0,2652000.0,2813000.0,2663000.0,2550000.0,2470000.0,2391000.0,2306000.0,2194000.0,2081000.0,1925000.0,2300000.0,1900000.0,1800000.0,1650000.0,1726000.0,1650000.0,1940000.0,2050000.0,2100000.0,2300000.0,2711000.0,2834000.0,2499000.0,1469000.0,1597000.0,2686000.0,3480000.0,2390000.0,4266000.0,3363000.0,4484000.0,2623000.0,5064000.0,4532000.0,3388000.0,5050000.0,5169235.0,5370259.0,4673040.0,4555110.0,,
Albania,,97800.0,146407.0,61763.0,124208.0,119728.0,146084.0,163261.0,203184.0,240177.0,226582.0,259431.0,285000.0,333000.0,330000.0,310000.0,485000.0,490000.0,490000.0,490530.0,495900.0,488700.0,524000.0,583000.0,600000.0,603000.0,576000.0,593000.0,637000.0,613000.0,613000.0,297340.0,251862.0,464498.0,420000.0,405342.0,271150.0,388391.0,395067.0,272000.0,341100.0,282200.0,295300.0,259900.0,253400.0,260000.0,230900.0,249500.0,335000.0,333100.0,294900.0,292800.0,300000.0,294000.0,280000.0,275000.0,275000.0,,
Algeria,,685723.0,1507000.0,1589664.0,1162456.0,1325240.0,630051.0,1265506.0,1533794.0,1326190.0,1434548.0,1317392.0,1655854.0,1158077.0,1091111.0,1847793.0,1629687.0,827123.0,1083019.0,1080435.0,1511426.0,1218380.0,977070.0,789786.0,886469.0,1478018.0,1228800.0,1174800.0,614420.0,1152100.0,750080.0,1869400.0,1836750.0,1016500.0,713964.0,1499920.0,2982604.0,661514.0,2280000.0,1470000.0,760361.0,2039213.0,1501803.0,2964852.0,2730700.0,2414728.0,2687930.0,2318963.0,1111033.0,2953117.0,2605178.0,2910890.0,3432231.0,3299049.0,2436197.0,2656731.0,2440097.0,,
Angola,,20000.0,20000.0,20000.0,13000.0,20000.0,22000.0,27000.0,27000.0,14145.0,11965.0,12782.0,15070.0,11527.0,16985.0,13000.0,13000.0,10000.0,10000.0,8000.0,7000.0,6000.0,5000.0,4000.0,3000.0,3000.0,2400.0,2400.0,2400.0,2400.0,2500.0,2560.0,2800.0,3000.0,3000.0,5000.0,4588.0,4766.0,6000.0,4000.0,4000.0,4000.0,4000.0,3933.0,3943.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,3828.0,3085.0,3449.0,4037.0,3995.0,,
Argentina,https://www.worldatlas.com/r/w728-h425-c728x425/upload/ad/a6/68/ar-flag-min.jpg,5725000.0,5700000.0,8940000.0,11260000.0,6079000.0,6247000.0,7320000.0,5740000.0,7020000.0,4920000.0,5440000.0,7900000.0,6560000.0,5970000.0,8570000.0,11582000.0,5653100.0,8469400.0,8317800.0,7974700.0,8369600.0,15097700.0,13111400.0,13678600.0,8742800.0,8756500.0,9101200.0,8596900.0,10055700.0,10055700.0,11036600.0,9998500.0,9995900.0,9736500.0,11406460.0,9542315.0,16106700.0,15086820.0,12600600.0,15478660.0,16146620.0,15427820.0,12399040.0,14710175.0,16139170.0,12721976.0,14662945.0,16486532.0,8508156.0,9016373.0,16067929.0,14683475.0,8134409.0,14143425.0,11571228.0,18557532.0,,19500500.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141483.0,217900.0,152900.0,153800.0,201400.0,183700.0,244300.0,214380.0,177762.0,241679.0,284670.0,216698.0,291556.0,258361.0,146544.0,254233.0,225734.0,198080.0,183464.0,224082.0,243130.0,311558.0,338158.0,362746.0,350369.0,,
Australia,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,6727192.0,8352912.0,8924460.0,10036954.0,7067060.0,12699257.0,7546691.0,14804143.0,10546200.0,7889918.0,8606000.0,6590000.0,11987000.0,11357000.0,11982000.0,11800000.0,9370336.0,18090000.0,16188000.0,10856000.0,16360000.0,8875571.0,22016000.0,18666032.0,15999000.0,16119000.0,12287000.0,13935000.0,14214495.0,15066100.0,10557400.0,14738678.0,16479000.0,8961000.0,16504000.0,23702000.0,19224000.0,22108000.0,24757000.0,22108000.0,22108078.0,24299335.0,10131924.0,26131870.0,21905113.0,25150343.0,10821628.0,13569378.0,21420177.0,21834010.0,27410076.0,29905009.0,22855576.0,25303037.0,23742560.0,22274514.0,31818744.0,
Austria,,711673.0,706206.0,689528.0,750534.0,660712.0,896906.0,1045402.0,1044709.0,950279.0,810424.0,974281.0,863310.0,939152.0,1101762.0,945188.0,1233520.0,1071848.0,1194808.0,849921.0,1200599.0,1025011.0,1236355.0,1417365.0,1501000.0,1562776.0,1414599.0,1450734.0,1559993.0,1362951.0,1404468.0,1375253.0,1325401.0,1018013.0,1255122.0,1301445.0,1239723.0,1352281.0,1341820.0,1416200.0,1312962.0,1508283.0,1434208.0,1191380.0,1718825.0,1453072.0,1396300.0,1399341.0,1689688.0,1523368.0,1517805.0,1781837.0,1275498.0,1597706.0,1804018.0,1725737.0,1970364.0,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943387.0,840960.0,739245.0,625575.0,758861.0,896422.0,798262.0,846030.0,1150281.0,1493741.0,1692818.0,1509557.0,1573006.0,1527026.0,1460303.0,1305458.0,1645792.0,2096203.0,1272340.0,1594394.0,1797028.0,1841307.0,1407405.0,1639830.0,1799859.0,,
Bangladesh,,32512.0,39624.0,44704.0,34544.0,34544.0,35600.0,53900.0,58900.0,93500.0,104700.0,111800.0,115012.0,90963.0,110929.0,116714.0,218174.0,259456.0,347997.0,494031.0,822706.0,1092513.0,967389.0,1095370.0,1211132.0,1463630.0,1041825.0,1090990.0,1048015.0,1021950.0,890000.0,1004290.0,1065050.0,1175630.0,1131000.0,1244990.0,1369130.0,1454100.0,1802815.0,1908000.0,1840000.0,1673000.0,1606000.0,1506710.0,1253380.0,975985.0,735000.0,737000.0,844000.0,849046.0,901490.0,972085.0,995356.0,1255000.0,1303000.0,1348000.0,1348186.0,,
